scenario,frame_idx,frame_name,ego_cav,com_range_m,bandwidth_mbps,all_cavs,in_range_cavs,selected_cavs,n_selected,fusion_method,reason,llm_response_time_s
2021_08_18_19_11_02,0,000070,1188,70.0,5.43,1188|1197|1206|1215,1188|1197|1206|1215,1188|1206|1197|1215,4,late,"Low bandwidth limits the strategy to late fusion, but including all in-range CAVs maximizes spatial coverage across SW, E, and W directions.",46.97
2021_08_18_19_11_02,50,000170,1188,70.0,5.56,1188|1197|1206|1215,1188|1197|1206|1215,1188|1206|1197|1215,4,late,Extremely limited bandwidth necessitates late fusion; including all in-range CAVs ensures maximum directional coverage with minimal data overhead.,51.1
2021_08_18_19_11_02,100,000270,1188,70.0,5.47,1188|1197|1206|1215,1188|1197|1206|1215,1188|1206|1215|1197,4,late,"Bandwidth is severely limited, making late fusion the only viable option; maintaining all in-range CAVs provides comprehensive 360-degree coverage.",42.13
2021_08_20_20_39_00,50,000169,1234,45.0,5.48,1234|1243|1252,1234|1243|1252,1234|1252|1243,3,late,Severe bandwidth constraints necessitate late fusion; both CAVs provide complementary directional coverage.,37.97
2021_08_20_20_39_00,100,000269,1234,45.0,5.34,1234|1243|1252,1234|1243|1252,1234|1243|1252,3,late,Extremely low bandwidth prevents any strategy other than late fusion; selected CAVs provide diverse directional coverage.,37.83
2021_08_21_09_09_41,0,000070,476,45.0,53.28,476|485|494|503,476|494|503,476|503|494,3,late,"Opposite directions provide optimal coverage, but limited bandwidth necessitates late fusion.",45.11
2021_08_21_09_09_41,150,000370,485,45.0,54.32,476|485|494|503,476|485|494,485|476,2,intermediate,Excluded out-of-range CAV 503 and redundant CAV 494; increased fusion quality due to available bandwidth.,31.37
2021_08_21_22_21_37,100,000269,2987,45.0,5.36,2987|2996|3005,2987|2996|3005,2987|2996|3005,3,late,"Low available bandwidth necessitates late fusion, while both in-range CAVs provide diverse directional coverage.",32.52
2021_08_22_06_43_37,50,000170,3152,45.0,56.76,3152|3161|3170|3179,3152|3161|3170|3179,3152|3170|3179|3161,4,late,"Diverse spatial coverage from NW, E, and N; bandwidth is insufficient for early or intermediate fusion.",48.04
2021_08_22_06_43_37,100,000270,3152,45.0,53.86,3152|3161|3170|3179,3152|3161|3170|3179,3152|3170|3179|3161,4,late,Diverse spatial coverage maintained; bandwidth remains insufficient for higher-fidelity fusion methods.,39.23
2021_08_22_06_43_37,150,000370,3152,45.0,54.67,3152|3161|3170|3179,3152|3161|3170|3179,3152|3161|3179|3170,4,late,"Maintains diverse spatial coverage across N, E, and W directions while respecting bandwidth constraints.",38.83
2021_08_22_07_24_12,0,000070,3314,45.0,54.56,3314|3323|3332|3341,3314|3323|3332|3341,3314|3323,2,intermediate,High redundancy among East-facing CAVs; selecting the most distant one to maximize coverage while staying within bandwidth limits.,50.15
2021_08_22_07_24_12,50,000170,3314,45.0,53.99,3314|3323|3332|3341,3314|3323|3332|3341,3314|3332|3323,3,intermediate,Combining the furthest East-facing CAV with the North-East perspective to maximize spatial diversity within available bandwidth.,41.05
2021_08_22_07_24_12,100,000270,3314,45.0,52.4,3314|3323|3332|3341,3314|3332|3341,3314|3332,2,intermediate,Removed out-of-range CAV 3323 and eliminated redundant coverage from 3341 to optimize bandwidth.,49.72
2021_08_22_07_24_12,150,000370,3314,45.0,56.75,3314|3323|3332|3341,3314|3332|3341,3314|3332|3341,3,intermediate,Including 3341 provides extended forward coverage while bandwidth supports intermediate fusion for the limited number of participants.,51.87
2021_08_22_10_10_40,50,000169,7655,45.0,54.95,7655|7664|7673,7655|7664|7673,7655|7673|7664,3,early,Ample bandwidth and complementary spatial coverage from NW and W directions justify high-accuracy early fusion.,38.38
2021_08_22_10_46_58,0,000069,3643,45.0,54.85,3643|3652|3661,3643|3652|3661,3643|3652|3661,3,late,"Opposing directions provide diverse coverage, but bandwidth is insufficient for raw or feature-map fusion.",47.08
2021_08_22_10_46_58,50,000169,3661,45.0,55.95,3643|3652|3661,3643|3652|3661,3661|3643,2,intermediate,Redundant coverage from North; intermediate fusion provides better accuracy than late while staying well within bandwidth limits.,33.3
2021_08_22_10_46_58,100,000269,3661,45.0,55.91,3643|3652|3661,3643|3652|3661,3661|3643,2,intermediate,CAV 3652 is redundant as it is located in the same direction as 3643; maintaining previous selection for continuity and bandwidth efficiency.,38.16
2021_08_22_22_30_58,50,000169,1241,45.0,5.71,1241|1250|1259,1241|1250|1259,1241|1259|1250,3,late,"Limited bandwidth constraints necessitate late fusion, while both available CAVs provide useful diverse spatial coverage.",34.48
2021_08_23_11_22_46,50,000169,6712,45.0,53.19,6712|6721|6730,6712|6721|6730,6712|6721|6730,3,intermediate,Complementary spatial coverage with bandwidth sufficient for compressed intermediate feature maps.,39.78
2021_08_23_11_22_46,100,000269,6712,45.0,57.5,6712|6721|6730,6712|6721|6730,6712|6721|6730,3,intermediate,Consistent spatial coverage and sufficient bandwidth to maintain intermediate fusion for high accuracy.,33.5
2021_08_23_11_22_46,150,000369,6712,45.0,55.33,6712|6721|6730,6712|6721|6730,6712|6721|6730,3,intermediate,Maintaining stable spatial coverage and consistent bandwidth for intermediate fusion.,38.94
2021_08_23_17_07_55,50,000169,407,45.0,21.94,407|416|425,407|416|425,407|425|416,3,intermediate,Diverse spatial coverage (NW and S) with bandwidth sufficient for intermediate feature maps.,35.76
2021_08_23_22_31_01,0,000070,939,45.0,5.66,939|948|957|966,939|948|957,939|957|948,3,late,"Diverse spatial coverage from SE and SW directions, but severe bandwidth constraints necessitate late fusion.",34.76
2021_08_23_22_31_01,50,000170,939,45.0,5.46,939|948|957|966,939|948|957|966,939|948|957|966,4,late,Added CAV 966 for improved southern coverage while maintaining late fusion due to severe bandwidth limitations.,39.17
2021_08_23_23_08_17,50,000169,47,45.0,5.74,47|56|65,47|56|65,47|65|56,3,late,Limited bandwidth of 5.7 Mbps necessitates late fusion to include diverse spatial coverage from both in-range CAVs.,35.21
2021_08_24_21_29_28,0,000069,4796,45.0,5.28,4796|4805|4814,4796|4805|4814,4796|4805|4814,3,late,"Diverse spatial coverage is available, but extremely limited bandwidth necessitates late fusion.",33.61
2021_08_24_21_29_28,50,000169,4814,45.0,5.74,4796|4805|4814,4796|4805|4814,4814|4796,2,late,Redundant NW coverage and very low bandwidth limit the selection to the nearest CAV using late fusion.,33.81
2021_08_24_21_29_28,100,000269,4814,45.0,5.69,4796|4805|4814,4796|4805|4814,4814|4796,2,late,High spatial redundancy between 4796 and 4805 and very low bandwidth necessitate late fusion with only the closest participant.,36.17
